ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS
KY,1916,2365119,-3,-1,-1,78496,1773,-3,-3,-3,25258,51465,-3,26080,18122,7958,26431,5329,136336,90296,15396,1947,57382,15571,903,15920,1386,17226,10605,136336,139,151599,22680,-3,-3,-3,89552,37013,19618,17395,49310,15653,253575,172369,16465,1947,102087,51870,1926,15920,6926,36404,20030,253575,580,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5557,-3,-3,-3,-3,-3,-3,-3,-3,3353,-3,-3,-3,-3,-3,-3,-3,-3,-3,586,1455,-1,-1,-1,-1,-1
LA,1916,1740253,-3,-1,-1,40250,949,-3,-3,-3,17090,22211,-3,8399,6439,1960,23110,4603,76362,55384,15161,104,34994,5125,420,4919,1995,7410,6234,76362,31,117141,19066,-3,-3,-3,50613,24064,10659,13405,54759,13546,209510,159288,27188,104,90864,41132,3956,4919,3548,21834,15965,209510,240,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3432,-3,-3,-3,-3,-3,-3,-3,-3,2068,-3,-3,-3,-3,-3,-3,-3,-3,-3,231,865,-1,-1,-1,-1,-1
MA,1916,3650085,-3,-1,-1,444500,1573,-3,-3,-3,158252,284675,-3,98404,29483,68921,132784,33974,709662,532680,98292,564,384334,49490,5271,23690,34550,52543,60928,709662,158,1467503,549111,-3,-3,-3,524746,518737,138585,380152,253873,61732,2301845,1967436,128829,564,746853  1,91190,6563,23690,44380,83949,175827,2301845,482,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,28354,-3,-3,-3,-3,-3,-3,-3,-3,17357,-3,-3,-3,-3,-3,-3,-3,-3,-3,3047,4811,-1,-1,-1,-1,-1
MD,1916,1385843,-3,-1,-1,98184,1635,-3,-3,-3,35903,60646,-3,34856,16292,18564,41944,6520,181504,135525,35510,1476,69372,29167,2993,10492,1199,16230,15065,181504,97,204662,35010,-3,-3,-3,98635,156782,43758,113024,77311,18178,456933,362833,41541,1476,149296,170520,4178,10492,5256,32430,41744,456933,252,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7925,-3,-3,-3,-3,-3,-3,-3,-3,4835,-3,-3,-3,-3,-3,-3,-3,-3,-3,1059,1712,-1,-1,-1,-1,-1
ME,1916,757652,-3,-1,-1,37343,343,-3,-3,-3,10903,26097,-3,29209,7169,22040,9955,1813,78320,58272,2405,212,25701,29954,206,5790,111,7415,6526,78320,67,94578,23424,-3,-3,-3,48965,141009,34914,106095,20784,5139,261510,223754,2605,212,52865,168072,1123,5790,202,11431,19210,261510,161,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3879,-3,-3,-3,-3,-3,-3,-3,-3,2467,-3,-3,-3,-3,-3,-3,-3,-3,-3,431,646,-1,-1,-1,-1,-1
MI,1916,3297464,-3,-1,-1,131295,4132,-3,-3,-3,53809,73354,-3,51023,25333,25690,54950,7138,244406,201113,28222,875,114181,57835,981,10254,1089,17670,13299,244406,105,491208,144489,-3,-3,-3,232476,148623,54844,93779,170495,22740,833066,713546,44347,949,306930,361320,3320,10254,2620,57030,46296,833066,819,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,10425,-3,-3,-3,-3,-3,-3,-3,-3,7067,-3,-3,-3,-3,-3,-3,-3,-3,-3,830,1734,-1,-1,-1,-1,-1
MN,1916,2257312,-3,-1,-1,261425,13734,-3,-3,-3,85749,161942,-3,43378,20093,23285,95300,11016,411119,341017,77171,778,170202,92866,1585,12383,1962,29171,25001,411119,281,468643,92792,-3,-3,-3,258739,67480,34605,32875,133409,19726,689258,578889,81879,778,234295,261937,4109,12383,3421,53801,36655,689258,1295,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,18566,-3,-3,-3,-3,-3,-3,-3,-3,12987,-3,-3,-3,-3,-3,-3,-3,-3,-3,907,3581,-1,-1,-1,-1,-1
MO,1916,3359327,-3,-1,-1,241942,2668,-3,-3,-3,104811,134463,-3,48163,30813,17350,129385,12770,432260,345115,173120,339,144442,27214,1480,26305,1511,35910,21939,432260,131,580930,66903,-3,-3,-3,299533,113579,45817,67762,240558,28151,963218,750000,204950,339,378079,166632,10213,26305,6122,96301,74277,963218,1506,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,16673,-3,-3,-3,-3,-3,-3,-3,-3,11299,-3,-3,-3,-3,-3,-3,-3,-3,-3,1861,3178,-1,-1,-1,-1,-1
MS,1916,1793214,-3,-1,-1,15606,1149,-3,-3,-3,5224,9233,-3,6074,4883,1191,7121,1613,30414,20512,2161,158,13732,4461,159,2947,204,3875,2717,30414,35,59784,17097,-3,-3,-3,30527,10546,7383,3163,23172,4928,98430,71156,3813,158,45352,21833,3037,2947,753,13458,7079,98430,288,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1783,-3,-3,-3,-3,-3,-3,-3,-3,1077,-3,-3,-3,-3,-3,-3,-3,-3,-3,211,372,-1,-1,-1,-1,-1
MT,1916,471835,-3,-1,-1,35937,2109,-3,-3,-3,12279,21549,-3,8239,5599,2640,20345,2420,66941,53634,4687,462,31590,16895,222,3293,17,5650,4125,66941,69,85092,10933,-3,-3,-3,45924,13659,7933,5726,43171,6914,148836,120091,7711,462,72014,39904,1507,3293,249,14750,8946,148836,306,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4059,-3,-3,-3,-3,-3,-3,-3,-3,2338,-3,-3,-3,-3,-3,-3,-3,-3,-3,375,1089,-1,-1,-1,-1,-1
NC,1916,2411679,-3,-1,-1,45941,1137,-3,-3,-3,16128,28676,-3,9009,7637,1372,12163,3353,70466,46292,6150,641,29358,10143,2857,6317,61,8860,6079,70466,79,118713,14673,-3,-3,-3,72120,11463,8028,3435,27813,7145,165134,118028,9702,641,68995,38690,6980,6317,485,20304,13020,165134,483,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3443,-3,-3,-3,-3,-3,-3,-3,-3,2128,-3,-3,-3,-3,-3,-3,-3,-3,-3,359,798,-1,-1,-1,-1,-1
ND,1916,617985,-3,-1,-1,43492,4136,-3,-3,-3,19215,20141,-3,6576,4554,2022,13967,3312,67347,54011,6387,199,23920,23505,252,3966,16,5750,3352,67347,155,109554,13054,-3,-3,-3,47095,8444,4804,3640,31835,8449,158282,130723,7961,199,54838,67725,1104,3966,21,15463,7005,158282,817,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4543,-3,-3,-3,-3,-3,-3,-3,-3,3084,-3,-3,-3,-3,-3,-3,-3,-3,-3,231,903,-1,-1,-1,-1,-1
NE,1916,1253659,-3,-1,-1,115796,2612,-3,-3,-3,44457,68727,-3,15130,11741,3389,48393,6771,186090,149059,43663,807,73488,31101,325,10014,63,14545,12084,186090,196,236514,20377,-3,-3,-3,152949,17249,12135,5114,90324,11720,355807,290616,49021,807,151586,89202,867,10014,106,33994,20210,355807,1038,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9271,-3,-3,-3,-3,-3,-3,-3,-3,5932,-3,-3,-3,-3,-3,-3,-3,-3,-3,631,1920,-1,-1,-1,-1,-1
NH,1916,438036,-3,-1,-1,21150,297,-3,-3,-3,6905,13948,-3,13144,6318,6826,7151,1128,42573,26788,3212,230,21530,1816,649,4875,11,5285,4965,42573,56,83219,44496,-3,-3,-3,25123,76483,19564,56919,10881,2616,173199,145884,3257,230,23324,119073,650,4875,11,5961,15818,173199,127,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2263,-3,-3,-3,-3,-3,-3,-3,-3,995,-3,-3,-3,-3,-3,-3,-3,-3,-3,388,569,-1,-1,-1,-1,-1
NJ,1916,2892102,-3,-1,-1,163245,2654,-3,-3,-3,41886,118705,-3,101981,27473,74508,65049,12295,342570,269985,16545,572,195145,57723,1846,15179,313,22220,33027,342570,202,401596,116997,-3,-3,-3,188722,296244,87014,209230,127683,29769,855292,713710,26681,572,341363,345094,2684,15179,3519,46900,73300,855292,370,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,14862,-3,-3,-3,-3,-3,-3,-3,-3,9323,-3,-3,-3,-3,-3,-3,-3,-3,-3,1749,3169,-1,-1,-1,-1,-1
NM,1916,346748,-3,-1,-1,17555,558,-3,-3,-3,7779,9218,-3,2700,2093,607,6130,1060,27445,20772,1990,240,13476,5066,1298,1712,4,2265,1394,27445,37,26583,2043,-3,-3,-3,12865,2909,2138,771,8615,1586,39693,29804,2053,240,19524,7987,1739,1712,97,4390,1951,39693,94,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1830,-3,-3,-3,-3,-3,-3,-3,-3,989,-3,-3,-3,-3,-3,-3,-3,-3,-3,246,401,-1,-1,-1,-1,-1
NV,1916,79164,-3,-1,-1,5655,649,-3,-3,-3,1605,3401,-3,2417,1705,712,3276,550,11898,8777,982,60,5998,1737,0,1253,1,1435,432,11898,10,14154,2364,-3,-3,-3,8796,3505,2224,1281,7352,1371,26382,20874,1081,60,12321,7412,40,1253,104,3130,981,26382,31,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,552,-3,-3,-3,-3,-3,-3,-3,-3,300,-3,-3,-3,-3,-3,-3,-3,-3,-3,69,112,-1,-1,-1,-1,-1
NY,1916,9856571,-3,-1,-1,1987904,5692,-3,-3,-3,1070150,912062,-3,528371,122228,406143,988767,98674,3603716,3019814,1062902,1983,1776756,178173,3771,72647,91800   1,67355,248329,3603716,477,4926811,1200146,-3,-3,-3,1462307,2253913,786364,1467549,1983216,351301,9515241,8210091,1518824,1983,4194803  2,494481,5911,72647,196105   3,45942,684545,9515241,1066,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,125580,-3,-3,-3,-3,-3,-3,-3,-3,74716,-3,-3,-3,-3,-3,-3,-3,-3,-3,14262,23031,-1,-1,-1,-1,-1
OH,1916,5339844,-3,-1,-1,369721,9634,-3,-3,-3,128352,231735,-3,132652,76876,55776,162292,29578,694243,525099,106143,2005,324967,91984,1666,43713,10515,62514,50736,694243,373,804270,190701,-3,-3,-3,363019,321252,144240,177012,305323,57470,1488315,1217706,116363,2005,586248,513090,4106,43713,13316   1,14021,95453,1488315,1124,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,29491,-3,-3,-3,-3,-3,-3,-3,-3,18627,-3,-3,-3,-3,-3,-3,-3,-3,-3,3021,5290,-1,-1,-1,-1,-1
OK,1916,1870779,-3,-1,-1,89850,3054,-3,-3,-3,53533,33263,-3,19511,14308,5203,47923,5657,162941,128917,16318,979,95551,16069,2177,10037,257,14980,6573,162941,335,134445,5016,-3,-3,-3,52662,23007,15930,7077,65670,8313,231435,184998,19139,979,136455,28425,3681,10037,257,23422,9040,231435,889,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9959,-3,-3,-3,-3,-3,-3,-3,-3,6234,-3,-3,-3,-3,-3,-3,-3,-3,-3,1174,2244,-1,-1,-1,-1,-1
OR,1916,737109,-3,-1,-1,52137,3280,-3,-3,-3,11496,37361,-3,19101,13341,5760,21638,4396,97272,74650,9337,623,44995,19695,503,6062,134,10066,5857,97272,82,90107,11079,-3,-3,-3,59448,27202,16582,10620,37252,7811,162372,124933,12666,623,72281,39363,2301,6062,352,18741,9983,162372,259,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4714,-3,-3,-3,-3,-3,-3,-3,-3,3007,-3,-3,-3,-3,-3,-3,-3,-3,-3,806,1050,-1,-1,-1,-1,-1
PA,1916,8281667,-3,-1,-1,824657,11700,-3,-3,-3,286532,526425,-3,427886,110404,317482,356725,66179,1675447,1293561,272613,2405,751725,266818,1855,83609,17764   1,17719,160939,1675447,833,1443331,185412,-3,-3,-3,704914,1016883,213916,802967,552731,141860,3154805,2420039,301217,2405,1233821,882596,7729,83609,26101   2,39450,377877,3154805,1389,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,71417,-3,-3,-3,-3,-3,-3,-3,-3,45658,-3,-3,-3,-3,-3,-3,-3,-3,-3,8118,12009,-1,-1,-1,-1,-1
RI,1916,578880,-3,-1,-1,28024,27,-3,-3,-3,7799,20198,-3,15788,5470,10318,7091,1097,52000,35420,2424,361,29479,3156,0,4308,218,5570,6484,52000,17,139278,41223,-3,-3,-3,63478,128923,24010,104913,32942,5472,306615,262687,4887,361,101965,155474,0,4308,1518,14108,23994,306615,48,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2458,-3,-3,-3,-3,-3,-3,-3,-3,1600,-3,-3,-3,-3,-3,-3,-3,-3,-3,114,466,-1,-1,-1,-1,-1
SC,1916,1614260,-3,-1,-1,39700,1703,-3,-3,-3,16614,21383,-3,9158,6990,2168,9312,2826,60996,37009,3716,261,18518,14514,3658,5970,27,9141,5191,60996,74,97865,13394,-3,-3,-3,49884,12888,7614,5274,18547,6558,135858,83098,4823,261,38393,39621,12125,5970,1471,20802,12392,135858,391,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3652,-3,-3,-3,-3,-3,-3,-3,-3,2235,-3,-3,-3,-3,-3,-3,-3,-3,-3,303,894,-1,-1,-1,-1,-1
SD,1916,614936,-3,-1,-1,40082,2845,-3,-3,-3,16100,21137,-3,6362,4204,2158,15580,2578,64602,52710,8566,289,23928,19927,415,3473,19,5260,2725,64602,124,96253,8864,-3,-3,-3,42484,6662,4308,2354,38966,6330,148211,124938,13485,289,53479,57685,681,3473,295,13297,5527,148211,622,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3961,-3,-3,-3,-3,-3,-3,-3,-3,2792,-3,-3,-3,-3,-3,-3,-3,-3,-3,308,761,-1,-1,-1,-1,-1
TN,1916,2275400,-3,-1,-1,76150,3032,-3,-3,-3,22811,50307,-3,20393,13944,6449,28767,5175,130485,93535,15124,904,53786,23721,1225,12104,109,14500,9012,130485,114,141413,12617,-3,-3,-3,91073,24575,14970,9605,51178,12200,229366,167891,19624,904,97618,49745,2785,12104,2502,29045,15039,229366,518,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6229,-3,-3,-3,-3,-3,-3,-3,-3,4031,-3,-3,-3,-3,-3,-3,-3,-3,-3,581,1279,-1,-1,-1,-1,-1
TX,1916,4339940,-3,-1,-1,237117,10322,-3,-3,-3,102519,124276,-3,49575,42468,7107,101727,19708,408127,266804,43599,1396,192901,28908,9551,37452,188,53790,40342,408127,531,351168,27512,-3,-3,-3,173228,52852,43003,9849,141772,35698,581490,379012,48605,1396,288792,40219,15800,37452,3693,86661,58872,581490,1531,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,24126,-3,-3,-3,-3,-3,-3,-3,-3,13394,-3,-3,-3,-3,-3,-3,-3,-3,-3,2764,3250,-1,-1,-1,-1,-1
UT,1916,417277,-3,-1,-1,23279,608,-3,-3,-3,9189,13482,-3,6625,4146,2479,11748,1444,43096,34417,8682,524,17306,7905,24,3186,16,3355,2098,43096,23,66986,16176,-3,-3,-3,28346,11453,4470,6983,24612,4113,107164,86949,12164,524,40552,33709,379,3186,1208,10056,5386,107164,118,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2099,-3,-3,-3,-3,-3,-3,-3,-3,1428,-3,-3,-3,-3,-3,-3,-3,-3,-3,203,403,-1,-1,-1,-1,-1
VA,1916,2206776,-3,-1,-1,129157,2255,-3,-3,-3,40854,86048,-3,23799,17097,6702,36037,8324,197317,141998,24905,1359,80020,35714,2290,15034,1799,18989,17207,197317,143,201012,19651,-3,-3,-3,121980,30555,18541,12014,53175,13396,298138,214518,26690,1359,115898,70571,4231,15034,3267,32214,28874,298138,430,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,8758,-3,-3,-3,-3,-3,-3,-3,-3,5627,-3,-3,-3,-3,-3,-3,-3,-3,-3,619,1974,-1,-1,-1,-1,-1
VT,1916,353835,-3,-1,-1,20268,684,-3,-3,-3,4637,14947,-3,12110,5126,6984,5266,975,38619,24449,1483,43,10284,12639,688,4357,150,4985,3990,38619,48,106614,74479,-3,-3,-3,25701,30041,21458,8583,11847,4563,153065,126984,1483,43,15352,110106,1038,4357,873,7035,12778,153065,106,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1995,-3,-3,-3,-3,-3,-3,-3,-3,1155,-3,-3,-3,-3,-3,-3,-3,-3,-3,298,530,-1,-1,-1,-1,-1
WA,1916,1266310,-3,-1,-1,75213,4078,-3,-3,-3,21028,50107,-3,24041,14347,9694,35829,5587,140670,114342,17169,700,61263,35210,494,6476,1917,11460,5981,140670,77,152392,17662,-3,-3,-3,96723,42206,24868,17338,63545,16643,274786,224076,22813,700,113069,87494,2709,6476,2265,27247,12013,274786,362,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6651,-3,-3,-3,-3,-3,-3,-3,-3,4377,-3,-3,-3,-3,-3,-3,-3,-3,-3,826,1305,-1,-1,-1,-1,-1
WI,1916,2508465,-3,-1,-1,135025,5198,-3,-3,-3,38019,91808,-3,45265,21665,23600,49127,6572,235989,190819,25345,937,83276,81261,812,12896,473,18425,12564,235989,137,322388,62887,-3,-3,-3,196793,76233,28758,47475,99473,13991,512085,429941,30639,937,178057,220308,2744,12896,502,41944,24058,512085,857,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,10297,-3,-3,-3,-3,-3,-3,-3,-3,7120,-3,-3,-3,-3,-3,-3,-3,-3,-3,996,2197,-1,-1,-1,-1,-1
WV,1916,1361365,-3,-1,-1,59464,1095,-3,-3,-3,16990,41379,-3,16559,10233,6326,19341,5445,100809,72388,4118,429,42440,25401,636,8850,316,10067,8552,100809,117,135010,10658,-3,-3,-3,95455,26967,11248,15719,39447,10937,212361,159181,6653,429,84235,67864,1603,8850,588,23504,18635,212361,310,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4780,-3,-3,-3,-3,-3,-3,-3,-3,3002,-3,-3,-3,-3,-3,-3,-3,-3,-3,433,993,-1,-1,-1,-1,-1
WY,1916,173348,-3,-1,-1,16048,823,-3,-3,-3,8771,6454,-3,3017,2026,991,6397,780,26242,20773,2256,170,11135,7212,72,1649,2,2030,1716,26242,36,26242,3188,-3,-3,-3,10664,3336,2146,1190,9426,1327,40331,31860,2463,170,17682,11545,231,1649,2,3948,2641,40331,115,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1451,-3,-3,-3,-3,-3,-3,-3,-3,884,-3,-3,-3,-3,-3,-3,-3,-3,-3,130,324,-1,-1,-1,-1,-1
AK,1917,57681,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,165,-3,-3,-3,-3,-3,-3,-3,-3,95,-3,-3,-3,-3,-3,-3,-3,-3,-3,19,33,-1,-1,-1,-1,-1
AL,1917,2283070,-3,-1,-1,50446,2935,-3,-3,-3,20002,27509,-3,17499,12466,5033,19760,3552,91257,61303,4890,321,41218,14874,1748,9263,133,10657,8153,91257,92,94220,10464,-3,-3,-3,52635,20388,13519,6869,36688,7627,158923,110468,7235,321,73630,29282,3240,9263,348,21335,14269,158923,328,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4747,-3,-3,-3,-3,-3,-3,-3,-3,2772,-3,-3,-3,-3,-3,-3,-3,-3,-3,819,1014,-1,-1,-1,-1,-1
AR,1917,1696867,-3,-1,-1,27315,1326,-3,-3,-3,9103,16886,-3,6637,5103,1534,14002,1460,49414,36834,7491,203,26496,2644,196,3060,105,5536,3683,49414,67,86045,14223,-3,-3,-3,56317,11049,7282,3767,40169,6156,143419,109173,12914,203,79048,17008,2021,3060,222,18971,9972,143419,455,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2662,-3,-3,-3,-3,-3,-3,-3,-3,1561,-3,-3,-3,-3,-3,-3,-3,-3,-3,203,593,-1,-1,-1,-1,-1
AZ,1917,288327,-3,-1,-1,9633,411,-3,-3,-3,3269,5953,-3,2987,2244,743,7084,764,20468,17160,760,197,13474,2729,51,829,54,1187,1187,20468,14,34461,6022,-3,-3,-3,16977,6693,4212,2481,25542,2255,68951,60273,2750,197,39793,17533,51,829,283,4106,3409,68951,70,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1095,-3,-3,-3,-3,-3,-3,-3,-3,636,-3,-3,-3,-3,-3,-3,-3,-3,-3,193,204,-1,-1,-1,-1,-1
CA,1917,3070905,-3,-1,-1,380298,12191,-3,-3,-3,117631,250476,-3,118994,82439,36555,174353,25801,699446,527414,118102,2381,326472,80459,11227,40412,14537,59472,46384,699446,268,935929,419710,-3,-3,-3,344547,311672,175712,135960,311850,66725,1626176,1334654,137764,2381,561761,632748,11714,40412,19126   1,24329,95941,1626176,712,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,27778,-3,-3,-3,-3,-3,-3,-3,-3,17734,-3,-3,-3,-3,-3,-3,-3,-3,-3,3275,5490,-1,-1,-1,-1,-1
CO,1917,895030,-3,-1,-1,91018,2692,-3,-3,-3,47683,40643,-3,44222,21169,23053,54465,3712,193417,165211,27695,1341,96525,39650,105,7537,411,10540,9613,193417,121,139793,8411,-3,-3,-3,58301,56878,24477,32401,76875,6458,280004,239732,29952,1341,132876,75563,466,7537,861,18080,13328,280004,349,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9360,-3,-3,-3,-3,-3,-3,-3,-3,5506,-3,-3,-3,-3,-3,-3,-3,-3,-3,1297,2171,-1,-1,-1,-1,-1
CT,1917,1294817,-3,-1,-1,104599,1100,-3,-3,-3,39416,64083,-3,47655,21256,26399,34112,7645,194011,138054,7339,411,111770,18534,3452,12356,1393,19849,18907,194011,69,360394,172413,-3,-3,-3,103399,281912,89972,191940,61254,16853,720413,613381,8588,411,181523,422859,7618,12356,3678,28904,54476,720413,226,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7620,-3,-3,-3,-3,-3,-3,-3,-3,4429,-3,-3,-3,-3,-3,-3,-3,-3,-3,677,1522,-1,-1,-1,-1,-1
DC,1917,402448,-3,-1,-1,36988,510,-3,-3,-3,16483,19995,-3,19944,9030,10914,15435,6839,79206,56466,7048,6202,34970,8246,170,6364,2824,7177,6205,79206,14,78794,19228,-3,-3,-3,25587,33776,10680,23096,24314,15278,152162,107492,8410,6202,69324,23556,1233,6364,4722,18731,13620,152162,42,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2897,-3,-3,-3,-3,-3,-3,-3,-3,1686,-3,-3,-3,-3,-3,-3,-3,-3,-3,233,794,-1,-1,-1,-1,-1
DE,1917,216586,-3,-1,-1,8120,204,-3,-3,-3,1961,5955,-3,7226,1928,5298,2607,672,18625,13214,806,75,8731,3602,252,1238,7,1589,2325,18625,22,33285,9456,-3,-3,-3,15525,28384,4697,23687,10953,2094,74716,59391,1680,75,32860,24776,593,1238,47,5276,8171,74716,43,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,805,-3,-3,-3,-3,-3,-3,-3,-3,465,-3,-3,-3,-3,-3,-3,-3,-3,-3,56,161,-1,-1,-1,-1,-1
FL,1917,897910,-3,-1,-1,43494,2432,-3,-3,-3,13378,27684,-3,15767,10418,5349,21768,3712,84741,67148,10245,732,34280,21891,415,5195,388,6381,5214,84741,54,69187,9677,-3,-3,-3,40377,20400,12158,8242,39399,7715,136701,107251,12052,732,58314,36153,795,5195,939,13804,8717,136701,257,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,4388,-3,-3,-3,-3,-3,-3,-3,-3,3061,-3,-3,-3,-3,-3,-3,-3,-3,-3,546,753,-1,-1,-1,-1,-1
GA,1917,2806659,-3,-1,-1,76901,2332,-3,-3,-3,30843,43726,-3,15744,13054,2690,28472,4824,125941,85146,13540,658,51928,19020,4019,10280,627,13000,12869,125941,100,205882,20578,-3,-3,-3,128170,24389,15038,9351,64392,15182,309845,209047,20263,658,115527,72599,13930,10280,1779,41282,33527,309845,739,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6008,-3,-3,-3,-3,-3,-3,-3,-3,3795,-3,-3,-3,-3,-3,-3,-3,-3,-3,414,1194,-1,-1,-1,-1,-1
HA,1917,234710,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,211,-3,-3,-3,-3,-3,-3,-3,-3,116,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,47,-1,-1,-1,-1,-1
IA,1917,2348780,-3,-1,-1,212253,9391,-3,-3,-3,49082,153780,-3,37170,26596,10574,76468,9116,335007,273222,82451,1191,103169,86411,1046,18350,402,24500,17487,335007,352,657495,142736,-3,-3,-3,419980,48746,30824,17922,200191,27148,933580,780255,91603,1191,281805,405656,4830,18350,7875,75631,46639,933580,1859,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,36777,-3,-3,-3,-3,-3,-3,-3,-3,23704,-3,-3,-3,-3,-3,-3,-3,-3,-3,2645,6348,-1,-1,-1,-1,-1
ID,1917,396778,-3,-1,-1,27598,835,-3,-3,-3,8328,18435,-3,7509,5077,2432,10857,1859,47823,38517,3884,138,25374,9121,468,2977,61,3661,2139,47823,60,54791,4506,-3,-3,-3,33282,9581,6135,3446,21768,3732,89872,74340,4985,138,49630,19587,1275,2977,82,7610,3588,89872,194,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2508,-3,-3,-3,-3,-3,-3,-3,-3,1615,-3,-3,-3,-3,-3,-3,-3,-3,-3,229,540,-1,-1,-1,-1,-1
