ST,YEAR,POPULA,INCOME,BRANCH,NOFACIL,N_TOTLN,N_TOTRE,N_REFRM,N_RERES,N_REOTH,N_COLLAT,N_OTHLN,N_OTHLNI,N_TOTINV,N_GOVTSEC,N_OTHSEC,N_CASH,N_OTHASS,N_TOTASS,N_TOTDEP,N_DEPIBK,N_DEPGOVT,N_DEPOTHD,N_DEPOTHT,N_BORR,N_BKNOTES,N_OTHLIAB,N_CAP,N_SURP,N_TOTLIAB,N_NOBNKS,A_TOTLN,A_TOTRE,A_REFRM,A_RERES,A_REOTH,A_OTHLNI,A_TOTINV,A_GOVTSEC,A_OTHSEC,A_CASH,A_OTHASS,A_TOTASS,A_TOTDEP,A_DEPIBK,A_DEPGOVT,A_DEPOTHD,A_DEPOTHT,A_BORR,A_BKNOTES,A_OTHLIAB,A_CAP,A_SURP,A_TOTLIAB,A_NOBNKS,N_INTD,N_INTDLN,N_INTDINV,N_INTIBK,N_XCCOLL,N_FXPROF,N_INSUR,N_TRUST,N_SECPROF,N_OTHEARN,N_GRSEARN,N_SALARY,N_INTDBOR,N_INTDEP,N_INTBKD,N_INTDD,N_INTTD,N_TAX,N_OTHEXP,N_TOTEXP,N_RECCOA,N_RECLD,N_RECSEC,N_CHGLN,N_CHGSEC,N_CHGFIX,N_CHGTRU,N_OTHLOSS,N_CHGFX,N_CHGTOT,N_DIVID,N_FAIL,C_FAIL,N_FAILASS,C_FAILASS,A_DEBITS
MD,1896,1127487,-3,-1,-1,41297,254,-3,-3,-3,12425,28618,-3,9636,6574,3062,17118,3111,71162,41601,5932,271,34273,1125,396,4568,10,17055,7532,71162,68,61838,6665,-3,-3,-3,38016,53847,34461,19386,21721,4965,142371,103245,6294,271,44424,52256,396,4568,34,22098,12030,142371,128,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2799,-3,-3,-3,-3,-3,-3,-3,-3,1170,-3,-3,-3,-3,-3,-3,-3,-3,-3,400,1158,-1,-1,-1,-1,-1
ME,1896,680916,-3,-1,-1,22343,126,-3,-3,-3,4209,18008,-3,8434,6372,2062,6165,928,37870,16960,1319,188,14143,1310,630,4958,82,11121,4119,37870,82,40075,8402,-3,-3,-3,21842,54307,27151,27156,7995,2861,105238,78996,1368,188,15802,61638,759,4958,196,12633,7696,105238,152,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1626,-3,-3,-3,-3,-3,-3,-3,-3,477,-3,-3,-3,-3,-3,-3,-3,-3,-3,353,747,-1,-1,-1,-1,-1
MI,1896,2284423,-3,-1,-1,43929,250,-3,-3,-3,9019,34660,-3,6819,5807,1012,13406,1980,66134,43476,7058,401,33281,2736,552,4071,1,13159,4875,66134,92,121032,23512,-3,-3,-3,75191,13978,9163,4815,33178,5762,173950,129897,9141,401,68438,51917,1066,4071,117,28514,10285,173950,499,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3258,-3,-3,-3,-3,-3,-3,-3,-3,1623,-3,-3,-3,-3,-3,-3,-3,-3,-3,574,1038,-1,-1,-1,-1,-1
MN,1896,1559468,-3,-1,-1,38336,1034,-3,-3,-3,11885,25417,-3,4508,2942,1566,14213,2811,59868,38932,6108,565,28305,3954,130,1724,31,14850,4201,59868,76,87054,15631,-3,-3,-3,49027,9783,6128,3655,28588,10341,135766,92664,8121,565,59537,24441,421,1724,1165,27226,12566,135766,443,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2573,-3,-3,-3,-3,-3,-3,-3,-3,1203,-3,-3,-3,-3,-3,-3,-3,-3,-3,884,674,-1,-1,-1,-1,-1
MO,1896,2928045,-3,-1,-1,52195,281,-3,-3,-3,21328,30586,-3,7129,4350,2779,22935,2584,84843,59282,21854,665,34423,2340,1051,2736,37,17455,4282,84843,68,137743,14414,-3,-3,-3,33678,18563,5656,12907,55302,8696,220304,147650,26010,665,99222,21753,1767,2736,5143,47028,15980,220304,656,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3896,-3,-3,-3,-3,-3,-3,-3,-3,1898,-3,-3,-3,-3,-3,-3,-3,-3,-3,977,967,-1,-1,-1,-1,-1
MS,1896,1440769,-3,-1,-1,2269,145,-3,-3,-3,826,1298,-3,643,453,190,854,177,3943,2249,85,0,2015,149,131,212,3,855,493,3943,10,10718,2959,-3,-3,-3,5175,1671,975,696,3315,721,16425,9169,251,0,7497,1421,1630,212,3,4274,1137,16425,85,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,262,-3,-3,-3,-3,-3,-3,-3,-3,109,-3,-3,-3,-3,-3,-3,-3,-3,-3,33,83,-1,-1,-1,-1,-1
MT,1896,196679,-3,-1,-1,13800,406,-3,-3,-3,3734,9660,-3,2834,1143,1691,4401,1106,22141,15384,1080,100,13506,698,343,646,10,4155,1603,22141,26,18988,1434,-3,-3,-3,12033,3487,1330,2157,7157,2274,31906,23174,1195,100,19327,2552,509,646,36,4780,2761,31906,56,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1371,-3,-3,-3,-3,-3,-3,-3,-3,587,-3,-3,-3,-3,-3,-3,-3,-3,-3,858,271,-1,-1,-1,-1,-1
NC,1896,1778229,-3,-1,-1,6813,32,-3,-3,-3,1835,4946,-3,1302,1094,208,1844,472,10431,5343,397,163,4402,381,601,675,19,2751,1042,10431,28,13420,1023,-3,-3,-3,10430,1599,1203,396,3536,942,19497,10437,601,163,7840,1833,1100,675,234,5406,1645,19497,92,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,548,-3,-3,-3,-3,-3,-3,-3,-3,244,-3,-3,-3,-3,-3,-3,-3,-3,-3,60,178,-1,-1,-1,-1,-1
ND,1896,259891,-3,-1,-1,5200,359,-3,-3,-3,2964,1877,-3,939,564,375,1076,771,7986,4673,118,0,3490,1065,478,441,0,1810,584,7986,29,8013,637,-3,-3,-3,2789,1014,628,386,1864,1109,12000,7169,131,0,4866,2172,661,441,0,2862,867,12000,101,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,572,-3,-3,-3,-3,-3,-3,-3,-3,284,-3,-3,-3,-3,-3,-3,-3,-3,-3,198,148,-1,-1,-1,-1,-1
NE,1896,1064841,-3,-1,-1,22034,326,-3,-3,-3,8245,13463,-3,4404,3433,971,9192,3498,39128,22887,4838,377,15716,1956,699,2275,0,11075,2192,39128,114,39834,3347,-3,-3,-3,24301,4761,3469,1292,13979,6696,65270,36121,4838,377,25245,5661,1274,2275,79,21205,4316,65270,558,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2039,-3,-3,-3,-3,-3,-3,-3,-3,1308,-3,-3,-3,-3,-3,-3,-3,-3,-3,636,344,-1,-1,-1,-1,-1
NH,1896,397189,-3,-1,-1,10683,106,-3,-3,-3,3099,7478,-3,7256,4666,2590,3524,651,22114,10667,1735,182,8657,93,248,3492,10,5830,1867,22114,50,41122,19656,-3,-3,-3,13148,34367,15235,19132,5057,4054,84600,66021,1778,182,9391,54670,249,3492,288,6420,8130,84600,114,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1058,-3,-3,-3,-3,-3,-3,-3,-3,348,-3,-3,-3,-3,-3,-3,-3,-3,-3,373,382,-1,-1,-1,-1,-1
NJ,1896,1694111,-3,-1,-1,51549,492,-3,-3,-3,13169,37888,-3,15371,7666,7705,18609,3910,89439,57410,4849,275,49873,2413,689,5104,9,14445,11782,89439,102,91749,23772,-3,-3,-3,45194,40857,24017,16840,25180,7299,165085,120976,5185,275,63587,51929,2120,5104,377,18383,18125,165085,170,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3858,-3,-3,-3,-3,-3,-3,-3,-3,1426,-3,-3,-3,-3,-3,-3,-3,-3,-3,525,1397,-1,-1,-1,-1,-1
NM,1896,180463,-3,-1,-1,1543,43,-3,-3,-3,491,1009,-3,762,547,215,917,223,3445,2351,208,167,1736,240,36,271,0,600,187,3445,7,1862,106,-3,-3,-3,1205,763,547,216,1133,245,4003,2687,209,167,2020,291,36,271,0,800,209,4003,13,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,192,-3,-3,-3,-3,-3,-3,-3,-3,94,-3,-3,-3,-3,-3,-3,-3,-3,-3,35,59,-1,-1,-1,-1,-1
NV,1896,44276,-3,-1,-1,201,2,-3,-3,-3,47,152,-3,22,22,0,23,40,286,146,0,0,40,106,30,18,0,82,10,286,1,1570,303,-3,-3,-3,726,178,178,0,338,394,2480,1453,0,0,1161,292,30,18,0,682,297,2480,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,41,-3,-3,-3,-3,-3,-3,-3,-3,27,-3,-3,-3,-3,-3,-3,-3,-3,-3,61,12,-1,-1,-1,-1,-1
NY,1896,6733384,-3,-1,-1,450272,783,-3,-3,-3,195085,254404,-3,97643,48931,48712,240393,23572,811880,611410,200373,1883,405219,3935,1641,31011,357,85796,81665,811880,330,1252811,308032,-3,-3,-3,423751,646196,526143,120053,448133,80984,2428124,1946755,275327,1883,888417,781128,4310,31011,12417   1,77396,256235,2428124,909,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,27292,-3,-3,-3,-3,-3,-3,-3,-3,12471,-3,-3,-3,-3,-3,-3,-3,-3,-3,6139,72700,-1,-1,-1,-1,-1
OH,1896,3956205,-3,-1,-1,121050,1729,-3,-3,-3,29139,90182,-3,31415,25959,5456,39212,5408,197085,114185,15401,1429,93204,4151,2660,16074,1684,45578,16904,197085,249,207764,36994,-3,-3,-3,116702,50859,33277,17582,64295,10300,333218,223115,16619,1429,129299,75768,3214,16074,1997,63568,25250,333218,644,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,8560,-3,-3,-3,-3,-3,-3,-3,-3,3861,-3,-3,-3,-3,-3,-3,-3,-3,-3,1191,3035,-1,-1,-1,-1,-1
